SKU,productType,productName,status,productSection,productOrder,pageTemplate,pageTitle,pageResources,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageCopys,pageKeywords,pageVideos,pageStatus,pageRelatedProducts,pageIcons,pageSubtitle,pageSeoTitle,pageSeoDescription
89083,Cojín,COJÍN ESFERA BUCLE,NVO,Página 8 / Complementos,31,Sublinea,Esfera Bucle,[],[],[],[],[],[],[],[],[],Activa,,[],,,
88217,Cojín,COJÍN CUADRADO EVEREST DEEP ROSE,CONT,Página 8 / Complementos,32,Sublinea,Cuadrado Everest Deep Rose,[],[],[],[],[],[],[],[],[],Activa,,[],,,
88218,Cojín,COJÍN CUADRADO EVEREST ARIA,CONT,Página 8 / Complementos,33,Sublinea,Cuadrado Everest Aria,[],[],[],[],[],[],[],[],[],Activa,,[],,,
88219,Cojín,COJÍN CUADRADO EVEREST PALENA,CONT,Página 8 / Complementos,34,Sublinea,Cuadrado Everest Palena,[],[],[],[],[],[],[],[],[],Activa,,[],,,
87251,Cojín,COJÍN EVEREST BARROW,CONT,Página 8 / Complementos,35,Sublinea,Barrow,['INDIVIDUAL'],[],[],[],[],[],[],[],[],Activa,,[],,,
88516,Cojín,COJÍN ESTAÑO,CONT,Página 8 / Complementos,36,Sublinea,Estaño,['DOBLE'],[],[],[],[],[],[],[],[],Activa,,[],,,
88755,Cojín,COJÍN ARENA,CONT,Página 8 / Complementos,37,Sublinea,Arena,['DOBLE'],[],[],[],[],[],[],[],[],Activa,,[],,,
88794,Cojín,COJÍN ADANA,CONT,Página 8 / Complementos,38,Sublinea,Adana,['DOBLE'],[],[],[],[],[],[],[],[],Activa,,[],,,
88802,Cojines,COJINES TRENTO,CONT,Página 8 / Complementos,39,Sublinea,Trento,['CUATRO'],[],[],[],[],[],[],[],[],Activa,,[],,,
37658,Cojín,COJÍN XL XBOX,CONT,Página 8 / Complementos,40,Sublinea,Xbox,[],[],[],[],[],[],[],[],[],Activa,,[],,,
36288,Cojín,COJÍN XL PS5,CONT,Página 8 / Complementos,41,Sublinea,Ps5,[],[],[],[],[],[],[],[],[],Activa,,[],,,
88451,Cojín,COJÍN HARRY POTTER,CONT,Página 8 / Complementos,42,Sublinea,Harry Potter,[],[],[],[],[],[],[],[],[],Activa,,[],,,
88453,Cojín,COJÍN XL HARRY POTTER,CONT,Página 8 / Complementos,43,Sublinea,Harry Potter,[],[],[],[],[],[],[],[],[],Activa,,[],,,
36630,Cojín,COJÍN REX,CONT,Página 8 / Complementos,44,Sublinea,Rex,[],[],[],[],[],[],[],[],[],Activa,,[],,,
88973,Funda De Cojín,FUNDA DE COJÍN CUADRADO IVORY,NVO,Página 8 / Complementos,45,Sublinea,Cuadrado Ivory,[],[],[],[],[],[],[],[],[],Activa,,[],,,
88261,Funda De Cojín,FUNDA DE COJÍN CUADRADO GANTE,CONT,Página 8 / Complementos,46,Sublinea,Cuadrado Gante,[],[],[],[],[],[],[],[],[],Activa,,[],,,
86786,Funda De Cojín,FUNDA DE COJÍN CRETA,CONT,Página 8 / Complementos,47,Sublinea,Creta,[],[],[],[],[],[],[],[],[],Activa,,[],,,
