productName,SKU,productType,productSection,pageTemplate,productOrder,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageTitle,pageSubtitle,pageCopys,pageResources,pageKeywords,pageVideos,pageStatus,pageIcons,pageSeoTitle,pageSeoDescription
Colcha Mat Mauve,88887,Colcha,Página 4 / Edredones Novo,JuegoDeEdredon,22,['88494'],['88629'],['87741'],['88500' '88587'],[''],Mauve,Colcha,[],['#d4c7c7'],[],[],Activa,[],,
Colcha Mat Plumas,86724,Colcha,Página 4 / Edredones Novo,JuegoDeEdredon,23,['88494'],['87448'],['86618' '87481'],['88573' '88542' '36629'],[''],Plumas,Colcha,[],['#e0d7d2'],[],[],Activa,[],,
Colcha Mat Azálea,88850,Colcha,Página 4 / Edredones Novo,JuegoDeEdredon,24,['88494'],['88457'],['87741'],['88794' '87500' '36629'],[''],Azálea,Colcha,[],['#f6f2f2'],[],[],Activa,[],,
Colcha Mat Rosalia,86361,Colcha,Página 4 / Edredones Novo,JuegoDeEdredon,25,['87493'],['63930'],['86621' '86618'],['87710' '36629'],[''],Rosalia,Colcha,[],['#ede7e3'],[],[],Activa,[],,
Colcha Mat Lavanda,86503,Colcha,Página 4 / Edredones Novo,JuegoDeEdredon,26,['23649'],['63988'],['35867'],['36629'],[''],Lavanda,Colcha,[],['#d6dade'],[],[],Activa,[],,
Jgo Bolsas Comprimibles Care Gde,88139,Accesorios de Clóset,Página 4 / Edredones Novo,Sublinea,27,[],[],[],[],[],Jgo Bolsas Comprimibles Care,,[],[],[],[],Activa,[],,
Bolsa Para Almacenamiento Vinil,88338,Accesorios de Clóset,Página 4 / Edredones Novo,Sublinea,28,[],[],[],[],[],Bolsa Para Almacenamiento Vinil,,[],[],[],[],Activa,[],,
Frazada Cooling,88867,Frazada Cooling,Página 5 / Cobertores,Cobertor,1,['23649'],['87865'],['87554'],['88619'],['36189'],Cooling,Frazada,[],['#d7e4eb' 'NADA'],[],[],Activa,[],,
Mumbai Beige Frazada,77556,Frazada Mumbai,Página 5 / Cobertores,JuegoDeEdredon,2,['88860'],['88486'],[],[],[],Mumbai Beige,Frazada,[],['#e7d8cf' 'NADA'],[],[],Activa,[],,
Mumbai Siena Frazada,87824,Frazada Mumbai,Página 5 / Cobertores,JuegoDeEdredon,3,['88776'],['88649'],[],[],[],Mumbai Siena,Frazada,[],['#dbd8d7' 'NADA'],[],[],Activa,[],,
Mumbai Gris Neutral Frazada,87823,Frazada Mumbai,Página 5 / Cobertores,JuegoDeEdredon,4,['24058'],['87868'],[],[],[],Mumbai Gris Neutral,Frazada,[],['#c0c3bf' 'NADA'],[],[],Activa,[],,
Mumbai Menta Frazada,88585,Frazada Mumbai,Página 5 / Cobertores,JuegoDeEdredon,5,['88551'],['88549'],[],[],[],Mumbai Menta,Frazada,[],['#edeeef' 'NADA'],[],[],Activa,[],,
Cobertor Ligero Mat/Ind Navy,88670,Cobertor Ligero,Página 5 / Cobertores,Cobertor,6,['88772'],['63961'],['87247'],['87251' '36689'],[''],Navy,Cobertor Ligero,[],['#c3c8d1'],[],[],Activa,[],,
Cobertor Ligero Mat/Ind Abadía,88666,Cobertor Ligero,Página 5 / Cobertores,Cobertor,7,['88776'],['88414'],['88541'],['87710' '87800'],[''],Abadía,Cobertor Ligero,[],['#f3f1f0'],[],[],Activa,[],,
Cobertor Ligero Mat/Ind Hanami,87787,Cobertor Ligero,Página 5 / Cobertores,Cobertor,8,['87493'],['88457'],['87741'],['36629'],[''],Hanami,Cobertor Ligero,[],['#f7f4f3'],[],[],Activa,[],,
Cobertor Ligero Mat/Ind Terracota,88674,Cobertor Ligero,Página 5 / Cobertores,Cobertor,9,['88776'],['88649'],['86618'],['88794'],['87824'],Terracota,Cobertor Ligero,[],['#eee4e1'],[],[],Activa,[],,
Cobertor Ligero Mat/Ind Estonia,52396,Cobertor Ligero,Página 5 / Cobertores,Cobertor,10,['23649'],['87473'],['35867'],['36629'],['51213'],Estonia,Cobertor Ligero,[],['#f2f1f1'],[],[],Activa,[],,
Cobertor Ligero Mat/Ind Negro,52588,Cobertor Ligero,Página 5 / Cobertores,Cobertor,11,['88860'],['88627'],['88572'],['87710'],[''],Negro,Cobertor Ligero,[],['#f5f6f6'],[],[],Activa,[],,
Cobertor Ligero Ks/Qs Celeste,88442,Cobertor Ligero,Página 5 / Cobertores,Cobertor,12,['87493'],['88414'],['88481' '87247'],['87500' '88454'],[''],Celeste,Cobertor Ligero,[],['#ebedee'],[],[],Activa,[],,
Bolsa De Regalo Vianney 24-25,88757,Bolsa De Regalo,Página 5 / Cobertores,Sublinea,13,[],[],[],[],[],Bolsa De Regalo Vianney 24-25,,[],[],[],[],Activa,[],,
Almohada Std Vialifresh,35161,Almohadas,Página 6 / Básicos,Almohadas,1,[],[],[],[],[],Vialifresh,,[],[],['vialifresh'],[],Activa,[],,
Almohada Std Vialifresh Super Confort,35209,Almohadas,Página 6 / Básicos,Almohadas,2,[],[],[],[],[],Vialifresh Super Confort,,[],[],['vialifresh'],[],Activa,[],,
Almohada Pocket,35646,Almohadas,Página 6 / Básicos,Almohadas,3,[],[],[],[],[],Pocket,,[],[],[],[],Activa,[],,
Almohada Ks Balance,35215,Almohadas,Página 6 / Básicos,Almohadas,4,[],[],[],[],[],Balance,,[],[],[],[],Activa,[],,
Almohada Ks Básica Plus,88692,Almohadas,Página 6 / Básicos,Almohadas,5,[],[],[],[],[],Básica Plus,,[],[],[],[],Activa,[],,
Almohada Ks Cooling,36260,Almohadas,Página 6 / Básicos,Almohadas,6,[],[],[],[],[],Cooling,,[],[],[],[],Activa,[],,
Almohada Ks Antiviral Impermeable,35219,Almohadas,Página 6 / Básicos,Almohadas,7,[],[],[],[],[],Antiviral Impermeable,,[],[],[],[],Activa,[],,
Cojín Modular Std,87647,Almohadas,Página 6 / Básicos,Almohadas,8,[],[],[],[],[],Modular,,[],[],[],[],Activa,[],,
Almohada Std Super Confort,35205,Almohadas,Página 6 / Básicos,Almohadas,9,[],[],[],[],[],Super Confort,,[],[],['nuit'],[],Activa,[],,
Protector De Almohada Cooling Std,87554,Almohadas,Página 6 / Básicos,Almohadas,10,[],[],[],[],[], Cooling,,[],[],[],[],Activa,[],,
Almohada Std Sognare Firme,35239,Almohadas,Página 6 / Básicos,Almohadas,11,[],[],[],[],[],Sognare Firme,,[],[],[],[],Activa,[],,
Almohada Std Sognare Nuo,87644,Almohadas,Página 6 / Básicos,Almohadas,12,[],[],[],[],[],Sognare Nuo,,[],[],[],[],Activa,[],,
Almohada Body Comfort Washed Gris,88845,Almohadas,Página 6 / Básicos,Almohadas,13,[],[],[],[],[],Body Comfort Washed Gris,,[],[],[],[],Activa,[],,
Relleno Almohada Std Balance,35838,Almohadas,Página 6 / Básicos,Almohadas,14,[],[],[],[],[],Relleno Balance,,[],[],[],[],Activa,[],,
Almohada Viafoam Std Gel Confort,87627,Almohadas,Página 6 / Básicos,Almohadas,15,[],[],[],[],[],Viafoam Gel Confort,,[],[],['viafoam'],[],Activa,[],,
Almohada Viafoam Std Duo Soft,87854,Almohadas,Página 6 / Básicos,Almohadas,16,[],[],[],[],[],Viafoam Duo,,[],[],['viafoam'],[],Activa,[],,
Cojín Viafoam Ortoconfort Std,36295,Almohadas,Página 6 / Básicos,Almohadas,17,[],[],[],[],[],Ortoconfort,,[],[],['viafoam'],[],Activa,[],,
Cojín Viafoam Multiseat Std,86681,Almohadas,Página 6 / Básicos,Almohadas,18,[],[],[],[],[],Multiseat,,[],[],['viafoam'],[],Activa,[],,
Cojín Viafoam Std Ortomedic,36297,Almohadas,Página 6 / Básicos,Almohadas,19,[],[],[],[],[],Ortomedic,,[],[],['viafoam'],[],Activa,[],,
Almohada Viafoam Std Cool,88619,Almohadas,Página 6 / Básicos,Almohadas,20,[],[],[],[],[],Viafoam Cool,,[],[],['nuit' 'viafoam'],[],Activa,[],,
Almohada Lactancia Washed Gris,88741,Almohadas,Página 6 / Básicos,Almohadas,21,[],[],[],[],[],Lactancia Washed Gris,,[],[],[],[],Activa,[],,
Funda De Almohada Lactancia Alpes Gris,24924,Almohadas,Página 6 / Básicos,Almohadas,22,[],[],[],[],[],Lactancia Alpes Gris,,[],[],[],[],Activa,[],,
Almohada Abrazable Washed Mint,88752,Almohadas Abrazables,Página 6 / Básicos,Sublinea,23,[],[],[],[],[],Washed Mint,,[],['INDIVIDUAL'],[],[],Activa,[],,
Almohada Abrazable Washed Gris,88751,Almohadas Abrazables,Página 6 / Básicos,Sublinea,24,[],[],[],[],[],Washed Gris,,[],['INDIVIDUAL'],[],[],Activa,[],,
Almohada Abrazable Blush,88763,Almohadas Abrazables,Página 6 / Básicos,Sublinea,25,[],[],[],[],[],Blush,,[],['INDIVIDUAL'],[],[],Activa,[],,
Almohada Abrazable Everest Bruselas,87476,Almohadas Abrazables,Página 6 / Básicos,Sublinea,26,[],[],[],[],[],Everest Bruselas,,[],['INDIVIDUAL'],[],[],Activa,[],,
Almohada Abrazable Everest Barrow,87232,Almohadas Abrazables,Página 6 / Básicos,Sublinea,27,[],[],[],[],[],Everest Barrow,,[],['INDIVIDUAL'],[],[],Activa,[],,
Almohada Abrazable Everest Deep Rose,88224,Almohadas Abrazables,Página 6 / Básicos,Sublinea,28,[],[],[],[],[],Everest Deep Rose,,[],['INDIVIDUAL'],[],[],Activa,[],,
Almohada Abrazable Alpes Gris,36193,Almohadas Abrazables,Página 6 / Básicos,Sublinea,29,[],[],[],[],[],Alpes Gris,,[],['INDIVIDUAL'],[],[],Activa,[],,
Almohada Abrazable Alpes Negro,36292,Almohadas Abrazables,Página 6 / Básicos,Sublinea,30,[],[],[],[],[],Alpes Negro,,[],['INDIVIDUAL'],[],[],Activa,[],,
Funda De Almohada Abrazable Viasoft Gris,36307,Fundas De Almohada Abrazable,Página 6 / Básicos,Sublinea,31,[],[],[],[],[], Viasoft Gris,,[],['INDIVIDUAL'],['viasoft'],[],Activa,[],,
Funda De Almohada Abrazable Viasoft Washed Rose,87813,Fundas De Almohada Abrazable,Página 6 / Básicos,Sublinea,32,[],[],[],[],[], Viasoft Washed Rose,,[],['INDIVIDUAL'],['viasoft'],[],Activa,[],,
Protector De Colchón Mat Vialifresh,36082,Protectores De Colchón,Página 6 / Básicos,ProtectoresDeColchon,33,[],[],[],[],[],Vialifresh,,[],[],['vialifresh'],[],Activa,[],,
Protector De Colchón Mat Tencel,87743,Protectores De Colchón,Página 6 / Básicos,ProtectoresDeColchon,34,[],[],[],[],[],Tencel,,[],[],[],[],Activa,[],,
Protector De Colchón Mat Impermeable,36102,Protectores De Colchón,Página 6 / Básicos,ProtectoresDeColchon,35,[],[],[],[],[],Impermeable,,[],[],[],[],Activa,[],,
Protector De Colchón Cuna Impermeable Baby,36111,Protectores De Colchón,Página 6 / Básicos,ProtectoresDeColchon,36,[],[],[],[],[],Impermeable Baby,,[],[],[],[],Activa,[],,
Protector De Colchón Mat Básico Plus,24964,Protectores De Colchón,Página 6 / Básicos,ProtectoresDeColchon,37,[],[],[],[],[],Básico Plus,,[],[],[],[],Activa,[],,
