productName,SKU,productType,productSection,productOrder,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageTemplate,pageTitle,pageSubtitle,pageCopys,pageResources,pageKeywords,pageVideos,pageStatus,pageIcons,pageSeoTitle,pageSeoDescription
Mumbai Menta Frazada,88585,Frazada Mumbai,Página 5 / Cobertores,5,[],[],[],[],[],JuegoDeEdredon,Mumbai Menta,Frazada Mumbai,[],[],[],[],Activa,[],,
Cobertor Ligero Mat/Ind Navy,88670,Cobertor Ligero,Página 5 / Cobertores,6,[''],[''],['87247'],['87251' '36689'],[''],Cobertor,Navy,Cobertor Ligero,[],[],[],[],Activa,[],,
Cobertor Ligero Mat/Ind Abadía,88666,Cobertor Ligero,Página 5 / Cobertores,7,[''],[''],['88541'],['87710' '87800'],[''],Cobertor,Abadía,Cobertor Ligero,[],['#f3f1f0'],[],[],Activa,[],,
Cobertor Ligero Mat/Ind Hanami,87787,Cobertor Ligero,Página 5 / Cobertores,8,['87493'],[''],['87741'],['36629'],[''],Cobertor,Hanami,Cobertor Ligero,[],[],[],[],Activa,[],,
Cobertor Ligero Mat/Ind Terracota,88674,Cobertor Ligero,Página 5 / Cobertores,9,[''],[''],['86618'],['88794'],['87824'],Cobertor,Terracota,Cobertor Ligero,[],['#eee4e1'],[],[],Activa,[],,
Cobertor Ligero Mat/Ind Estonia,52396,Cobertor Ligero,Página 5 / Cobertores,10,[''],[''],[''],[''],[''],Cobertor,Estonia,Cobertor Ligero,[],['#f2f1f1'],[],[],Activa,[],,
Cobertor Ligero Mat/Ind Negro,52588,Cobertor Ligero,Página 5 / Cobertores,11,[''],[''],[''],[''],[''],Cobertor,Negro,Cobertor Ligero,[],['#f5f6f6'],[],[],Activa,[],,
Cobertor Ligero Ks/Qs Celeste,88442,Cobertor Ligero,Página 5 / Cobertores,12,['87493'],['88414'],['88481' '87247'],['87500' '88454'],[''],Cobertor,Celeste,Cobertor Ligero,[],['#ebedee'],[],[],Activa,[],,
Bolsa De Regalo Vianney 24-25,88757,Bolsa De Regalo,Página 5 / Cobertores,13,[],[],[],[],[],Sublinea,Bolsa De Regalo Vianney 24-25,,[],[],[],[],Activa,[],,
Almohada Std Vialifresh,35161,Almohadas,Página 6 / Básicos,1,[],[],[],[],[],Almohadas,Vialifresh,,[],[],['vialifresh'],[],Activa,[],,
